ecosystem,package_name,package_version,popularity_tier,source,repository_url,repository_full_name,license_spdx_id
github,andrewwoan/mr-pandas-psychologically-safe-portfolio,repository-snapshot,medium,github-search:small-active-small,https://github.com/andrewwoan/mr-pandas-psychologically-safe-portfolio,andrewwoan/mr-pandas-psychologically-safe-portfolio,MIT
github,opencloud-eu/opencloud-compose,repository-snapshot,medium,github-search:small-active-small,https://github.com/opencloud-eu/opencloud-compose,opencloud-eu/opencloud-compose,GPL-3.0
github,greggman/webgl-memory,repository-snapshot,medium,github-search:small-active-small,https://github.com/greggman/webgl-memory,greggman/webgl-memory,MIT
github,dodying/UserJs,repository-snapshot,medium,github-search:small-active-small,https://github.com/dodying/UserJs,dodying/UserJs,MIT
github,walkermatt/ol-layerswitcher,repository-snapshot,medium,github-search:small-active-small,https://github.com/walkermatt/ol-layerswitcher,walkermatt/ol-layerswitcher,MIT
github,skymakerolof/dxf,repository-snapshot,medium,github-search:small-active-small,https://github.com/skymakerolof/dxf,skymakerolof/dxf,MIT
github,stylelint/stylelint-config-recommended,repository-snapshot,medium,github-search:small-active-small,https://github.com/stylelint/stylelint-config-recommended,stylelint/stylelint-config-recommended,MIT
github,radiantearth/stac-browser,repository-snapshot,medium,github-search:small-active-small,https://github.com/radiantearth/stac-browser,radiantearth/stac-browser,ISC
github,stream-utils/raw-body,repository-snapshot,medium,github-search:small-active-small,https://github.com/stream-utils/raw-body,stream-utils/raw-body,MIT
github,Larkenx/Rotten-Soup,repository-snapshot,medium,github-search:small-active-small,https://github.com/Larkenx/Rotten-Soup,Larkenx/Rotten-Soup,GPL-3.0
github,henryxrl/SimpleTextReader,repository-snapshot,medium,github-search:small-active-small,https://github.com/henryxrl/SimpleTextReader,henryxrl/SimpleTextReader,MIT
github,janwirth/vue-medium-editor,repository-snapshot,medium,github-search:small-active-small,https://github.com/janwirth/vue-medium-editor,janwirth/vue-medium-editor,MIT
github,finos/regular-table,repository-snapshot,medium,github-search:small-active-small,https://github.com/finos/regular-table,finos/regular-table,Apache-2.0
github,mongodb-developer/mern-stack-example,repository-snapshot,medium,github-search:small-active-small,https://github.com/mongodb-developer/mern-stack-example,mongodb-developer/mern-stack-example,Apache-2.0
github,Javis603/token-monitor,repository-snapshot,medium,github-search:small-active-small,https://github.com/Javis603/token-monitor,Javis603/token-monitor,MIT
github,waynesutton/convexskills,repository-snapshot,medium,github-search:small-active-small,https://github.com/waynesutton/convexskills,waynesutton/convexskills,Apache-2.0
github,murtaza-nasir/pdf3md,repository-snapshot,medium,github-search:small-active-small,https://github.com/murtaza-nasir/pdf3md,murtaza-nasir/pdf3md,AGPL-3.0
github,LyoSU/quote-bot,repository-snapshot,medium,github-search:small-active-small,https://github.com/LyoSU/quote-bot,LyoSU/quote-bot,MIT
github,wplacer/wplacer,repository-snapshot,medium,github-search:small-active-small,https://github.com/wplacer/wplacer,wplacer/wplacer,AGPL-3.0
github,marmelab/admin-on-rest,repository-snapshot,medium,github-search:small-active-small,https://github.com/marmelab/admin-on-rest,marmelab/admin-on-rest,MIT
github,sakithb/media-controls,repository-snapshot,medium,github-search:small-active-small,https://github.com/sakithb/media-controls,sakithb/media-controls,MIT
github,sallowayma-git/IELTS-practice,repository-snapshot,medium,github-search:small-active-small,https://github.com/sallowayma-git/IELTS-practice,sallowayma-git/IELTS-practice,GPL-3.0
github,wagoid/commitlint-github-action,repository-snapshot,medium,github-search:small-active-small,https://github.com/wagoid/commitlint-github-action,wagoid/commitlint-github-action,MIT
github,michu2k/Accordion,repository-snapshot,medium,github-search:small-active-small,https://github.com/michu2k/Accordion,michu2k/Accordion,MIT
github,0xlau/biliplus,repository-snapshot,medium,github-search:small-active-mid,https://github.com/0xlau/biliplus,0xlau/biliplus,MIT
github,byxiaozhi/Typedown,repository-snapshot,medium,github-search:small-active-mid,https://github.com/byxiaozhi/Typedown,byxiaozhi/Typedown,MIT
github,yjs/yjs-demos,repository-snapshot,medium,github-search:small-active-mid,https://github.com/yjs/yjs-demos,yjs/yjs-demos,Unlicense
github,Repcz/Tool,repository-snapshot,medium,github-search:small-active-mid,https://github.com/Repcz/Tool,Repcz/Tool,MIT
github,AnyChart/GraphicsJS,repository-snapshot,medium,github-search:small-active-mid,https://github.com/AnyChart/GraphicsJS,AnyChart/GraphicsJS,BSD-3-Clause
github,hasura/gatsby-gitbook-starter,repository-snapshot,medium,github-search:small-active-mid,https://github.com/hasura/gatsby-gitbook-starter,hasura/gatsby-gitbook-starter,MIT
github,wozulong/open-wegram-bot,repository-snapshot,medium,github-search:small-active-mid,https://github.com/wozulong/open-wegram-bot,wozulong/open-wegram-bot,GPL-3.0
github,kubesail/deploy-node-app,repository-snapshot,medium,github-search:small-slowing,https://github.com/kubesail/deploy-node-app,kubesail/deploy-node-app,MIT
github,jpedroschmitz/rocketdocs,repository-snapshot,medium,github-search:small-slowing,https://github.com/jpedroschmitz/rocketdocs,jpedroschmitz/rocketdocs,MIT
github,prinsss/export-twitter-following-list,repository-snapshot,low,github-search:small-slowing,https://github.com/prinsss/export-twitter-following-list,prinsss/export-twitter-following-list,MIT
github,Danziger/slotjs,repository-snapshot,medium,github-search:small-slowing,https://github.com/Danziger/slotjs,Danziger/slotjs,MIT
github,Lor-Saba/Code-Injector,repository-snapshot,low,github-search:small-slowing,https://github.com/Lor-Saba/Code-Injector,Lor-Saba/Code-Injector,GPL-3.0
github,JoeyGambler/youtube-ad-skip,repository-snapshot,low,github-search:small-slowing,https://github.com/JoeyGambler/youtube-ad-skip,JoeyGambler/youtube-ad-skip,MIT
github,MwumLi/gktimesc2gitbook,repository-snapshot,low,github-search:small-slowing,https://github.com/MwumLi/gktimesc2gitbook,MwumLi/gktimesc2gitbook,MIT
github,almogtavor/date-range-picker,repository-snapshot,low,github-search:small-slowing,https://github.com/almogtavor/date-range-picker,almogtavor/date-range-picker,MIT
github,lukeed/premove,repository-snapshot,low,github-search:small-slowing,https://github.com/lukeed/premove,lukeed/premove,MIT
github,stefanwalther/sense-navigation,repository-snapshot,low,github-search:small-slowing,https://github.com/stefanwalther/sense-navigation,stefanwalther/sense-navigation,MIT
github,wkf/hawk,repository-snapshot,low,github-search:small-slowing,https://github.com/wkf/hawk,wkf/hawk,EPL-1.0
github,alibaba/intelligent-test-platform,repository-snapshot,medium,github-search:small-slowing,https://github.com/alibaba/intelligent-test-platform,alibaba/intelligent-test-platform,Apache-2.0
github,inevolin/DiscordEarsBot,repository-snapshot,low,github-search:small-slowing,https://github.com/inevolin/DiscordEarsBot,inevolin/DiscordEarsBot,MIT
github,BlobbyDev/DoggoBot,repository-snapshot,low,github-search:small-slowing,https://github.com/BlobbyDev/DoggoBot,BlobbyDev/DoggoBot,GPL-3.0
github,gulpjs/fancy-log,repository-snapshot,low,github-search:small-slowing,https://github.com/gulpjs/fancy-log,gulpjs/fancy-log,MIT
github,gulpjs/findup-sync,repository-snapshot,low,github-search:small-slowing,https://github.com/gulpjs/findup-sync,gulpjs/findup-sync,MIT
github,magesuite/magepack,repository-snapshot,medium,github-search:small-slowing,https://github.com/magesuite/magepack,magesuite/magepack,OSL-3.0
github,nfl/react-wildcat,repository-snapshot,medium,github-search:small-dormant,https://github.com/nfl/react-wildcat,nfl/react-wildcat,MIT
github,ethereum-boilerplate/web3-social-network-boilerplate,repository-snapshot,low,github-search:small-dormant,https://github.com/ethereum-boilerplate/web3-social-network-boilerplate,ethereum-boilerplate/web3-social-network-boilerplate,MIT
github,paolomainardi/additronk8s-retrogames-kubernetes-controller,repository-snapshot,low,github-search:small-dormant,https://github.com/paolomainardi/additronk8s-retrogames-kubernetes-controller,paolomainardi/additronk8s-retrogames-kubernetes-controller,Apache-2.0
github,yuandong-tian/scheduler2,repository-snapshot,low,github-search:small-dormant,https://github.com/yuandong-tian/scheduler2,yuandong-tian/scheduler2,MIT
github,VCG/upset,repository-snapshot,medium,github-search:small-dormant,https://github.com/VCG/upset,VCG/upset,MIT
github,ciricc/easyvk,repository-snapshot,low,github-search:small-dormant,https://github.com/ciricc/easyvk,ciricc/easyvk,MIT
